Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1966","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1967","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1968","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1969","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1970","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1971","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1972","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1973","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1974","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1975","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1976","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1977","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1978","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1979","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1980","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1981","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1982","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1983","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1984","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1985","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1986","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1987","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1988","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1989","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1990","tonnes","0"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1991","tonnes","28"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1992","tonnes","705"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1993","tonnes","3448"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1994","tonnes","1568"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1995","tonnes","813"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1996","tonnes","687"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1997","tonnes","485"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1998","tonnes","242"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","1999","tonnes","166"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2000","tonnes","219"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2001","tonnes","256"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2002","tonnes","235"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2003","tonnes","1072"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2004","tonnes","729"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2005","tonnes","866"
