"","","","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Côte d'Ivoire","Production","Coffee, green","185500","97071","194639","260698","202105","272566","130759","287760","210124","279610","239706","268836","301804","195935","270400","308400","291339","195565","277048","249608","366839","247708","270581","85203","277082","265199","270130","186705","221350","285164","198909","257000","138937","145576","194968","167786","279219","311000","307331","380000","301127","182001","140027","154081","230000","187000","170849","173118","142945","94372","32291","121426","103743","109913","127000","106000","33600","41434","65036","59412"
"Democratic Republic of the Congo","Production","Coffee, green","54000","66000","66000","57000","58500","54000","60000","63300","68000","69600","74600","79200","77700","77100","82500","91100","88500","85600","86700","89000","93400","93400","84200","92700","91600","95000","97200","103080","94740","101594","95000","92400","90109","88346","84714","73975","70299","55991","48605","46767","34723","32080","32050","32020","31990","31960","31930","31900","31870","31840","31810","31562","29701","28233","30999","29644","29626","30090","29787","29834"
"Dominica","Production","Coffee, green","","","","","","","","","","","","","","","","","","","171","164","168","171","175","187","192","195","192","196","193","178","205","204","340","350","349","360","360","362","370","366","368","371","380","380","385","386","405","365","337","308","281","235","250","239","215","235","229","226","230","229"
"Dominican Republic","Production","Coffee, green","36210","45968","44783","51974","43072","44535","42400","44500","43550","42494","45000","45300","58682","54311","51855","56997","60208","43405","60391","60091","52206","63493","68027","72109","71965","68504","67134","67939","64611","59377","55222","42464","37744","32715","42407","47895","33997","56943","34609","45546","35476","37330","36929","35421","40303","41352","41232","35582","37950","21876","22680","27009","18552","13213","9888","11471","15241","18416","13873","7181"
"Ecuador","Production","Coffee, green","53500","55500","42800","47000","66200","57222","61731","60493","44345","72053","62252","71385","74980","69638","76437","87101","82680","75447","89728","69445","86085","83938","81075","97258","120861","118000","111720","144401","129309","134980","116917","137671","137004","186797","148205","168919","173868","48190","132939","27606","164790","23325","23579","27932","40805","31461","38687","32096","33624","31347","23829","7340","7760","4225","5297","3905","7564","5065","8141","5280"
"El Salvador","Production","Coffee, green","122500","98300","122700","123100","109200","123100","144800","123800","143980","129490","144624","147476","126500","159436","161415","138690","147465","158490","185625","184230","180000","174616","154560","163852","148810","138184","147890","120290","121900","147200","149450","175720","140576","140534","139513","148859","124239","117214","160782","114087","112201","91513","81157","83088","87963","85350","96355","97727","76591","112636","82095","89489","32864","41965","35682","38636","41141","45660","39660","36000"
"Equatorial Guinea","Production","Coffee, green","6600","8100","6700","8235","6664","6400","8700","7500","7200","7200","6900","6900","6300","6600","5400","5400","4800","5400","6000","6000","6600","6700","6700","6800","7000","7000","7000","7000","7000","6500","6000","5500","5329","5000","4500","5000","5000","5000","3500","5000","5000","5000","5000","4000","4000","4500","4398","4300","4000","4251","4343","4595","4402","4385","4254","4174","4205","4226","4207","4187"
"Ethiopia","Production","Coffee, green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180000","207000","229980","229980","228000","229980","217450","229980","157155","160000","126188","156170","171631","241482","273400","260239","265469","370569","376823","275530","392006","419980","457014","469091","449230","494574","482561","584790"
"Ethiopia PDR","Production","Coffee, green","127400","132700","139100","170400","140000","140000","155000","160000","165000","170000","182200","163500","180080","153400","171000","178600","191400","190000","188000","187200","202000","202000","157824","145306","155200","186000","186000","190000","200000","204000","210000","216000","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiji","Production","Coffee, green","","1","1","1","1","2","5","8","11","11","13","13","13","13","15","15","15","20","20","20","20","30","40","30","40","45","30","63","97","660","354","226","176","11","10","10","11","11","11","15","16","15","15","15","15","14","15","15","15","15","16","18","20","21","8","16","15","13","15","14"
"French Polynesia","Production","Coffee, green","113","271","141","200","89","173","126","190","145","102","110","110","120","130","160","102","84","125","180","168","121","56","142","63","55","14","4","4","10","6","13","4","8","9","10","10","11","16","18","18","18","17","17","15","16","17","17","16","18","18","20","20","22","20","21","22","21","21","21","21"
"Gabon","Production","Coffee, green","1100","2500","1100","1100","1100","900","900","1200","1200","900","600","900","540","600","259","145","360","502","269","680","750","1850","1400","1200","1295","1332","1724","1774","1920","269","451","193","256","259","159","219","154","145","125","198","60","180","120","135","131","120","125","121","117","113","109","106","109","102","93","102","99","98","99","99"
"Ghana","Production","Coffee, green","1700","3920","2650","6700","1644","8610","4057","6440","4700","6510","7322","7550","3910","2455","4000","5500","3800","1770","1700","1500","1500","1500","1300","700","500","531","791","377","700","1000","2300","2400","4000","3000","3575","6330","2880","8370","3965","1956","1379","1464","900","1140","1200","1740","1860","1620","1860","1200","550","600","698","736","736","736","736","736","736","736"
"Guadeloupe","Production","Coffee, green","500","500","300","400","200","300","300","300","300","300","270","220","180","120","100","116","95","20","20","10","10","10","20","40","40","26","40","40","35","20","20","47","53","23","15","24","27","29","32","35","35","35","30","19","25","24","","","","","","","","","","","","","",""
"Guatemala","Production","Coffee, green","100600","117700","104400","105200","126100","106200","102363","112392","118685","126546","128386","142682","145642","157437","139091","158433","168217","169636","164810","177430","193830","189330","183010","196610","181630","196560","193200","179400","193200","202400","196190","206586","208650","213900","210920","240300","271440","253080","293520","312060","261097","255091","244200","250279","248277","240331","248614","254914","247503","248355","265401","272432","248668","227653","225653","236145","224000","240400","216400","225000"
"Guinea","Production","Coffee, green","15000","13000","12300","9000","9600","13000","13000","14500","10000","11500","12500","13000","13673","13809","13949","13975","14121","14283","14405","14400","14400","14500","14700","14800","14900","6500","6500","20000","27500","30000","30000","28804","28800","30000","28000","22750","20000","20888","22119","22080","14160","19680","20880","20220","20770","23226","26556","27353","28173","29018","30320","17907","18440","25787","32230","38900","40800","50000","56670","38572"
"Guyana","Production","Coffee, green","860","1039","659","1129","1156","1122","1290","1302","684","703","761","762","746","900","900","900","1020","1140","1320","1560","1560","1260","1020","358","370","430","240","300","300","300","300","300","300","300","300","285","261","136","140","15","153","300","480","480","480","480","480","480","420","420","420","420","420","420","420","420","420","420","420","360"
"Haiti","Production","Coffee, green","45720","31860","34980","36000","36720","30540","31600","30180","27000","32610","32400","31500","33000","31200","39000","32280","31140","26580","40140","42900","33250","32250","36000","37250","36900","37752","30088","37693","38447","37200","37000","27355","33600","31000","29000","27000","29155","27239","28000","30000","28000","27000","30000","29000","35000","35000","47000","35000","36482","38193","39232","40184","58720","35232","20452","20495","20543","20820","20820","20700"
"Honduras","Production","Coffee, green","21450","27939","29014","29276","32195","33569","35041","36512","37984","39456","40927","42399","41778","45342","46814","48285","49757","59796","72547","64228","75347","72420","79474","72545","75091","76318","79877","94046","100234","119784","101890","111660","110481","126182","132400","148830","162658","172772","157409","193309","205545","172727","175284","185090","190640","213636","236302","240948","231288","244335","284347","343403","280697","282230","332747","366542","477580","478831","472497","364552"
"India","Production","Coffee, green","43200","46000","56200","69300","60900","63900","78500","57331","73430","63619","110231","68948","91072","86388","92506","84000","102300","125000","110488","149835","118600","152100","130000","105029","195100","122400","192100","122700","214700","118100","170000","180000","162000","208000","180000","223000","205000","228000","265000","292000","301000","301000","275275","270500","275500","274000","288000","262000","262300","289600","302000","314000","318200","304500","327000","348000","312000","316000","319500","298000"
"Indonesia","Production","Coffee, green","103100","106700","139600","118200","134500","142200","153478","157347","173613","185091","180916","178735","150163","149811","170372","193377","193966","222690","273675","294973","314899","281251","305648","315489","311398","356822","388669","391095","401048","412767","428305","436930","438868","450191","457801","421751","426800","512165","524687","554574","569234","682019","663571","647385","640365","682158","676475","698016","682591","684076","638600","691163","675800","643900","639412","639305","717962","756051","741657","773409"
"Jamaica","Production","Coffee, green","2546","1969","2009","1997","2170","1861","1991","1972","1589","1805","1358","1040","1146","1486","1186","1929","1208","1477","958","2216","1379","1516","1632","1745","1274","1697","1658","2231","1260","1560","2280","1920","1500","2460","2580","2580","2887","1740","2340","2220","2880","2760","3300","2400","8897","12390","15117","9035","12456","9121","8099","6687","6984","5298","5755","7580","6222","7085","5587","7170"
"Kenya","Production","Coffee, green","28100","50000","40500","41400","39300","56900","48000","39600","52400","58300","59500","62048","71190","70103","66152","80303","101218","84332","75082","91334","99717","87436","86064","118500","93600","113926","104679","128700","116900","103900","86400","85300","75100","79900","95400","97976","68642","53715","68100","100700","51700","51900","55443","48431","45200","48300","53368","42000","54000","42000","36300","49000","39800","49500","42000","46100","38620","41375","44500","36900"
"Lao People's Democratic Republic","Production","Coffee, green","1000","1500","2000","3500","3500","3500","3500","3500","3450","3200","2800","2300","1800","2070","1800","2780","4315","2980","3500","4442","5031","5200","5320","5780","6144","4711","5312","7829","5413","5204","8017","6582","7622","9035","8576","10020","12300","16999","17530","23500","25796","32197","27850","23100","25000","25250","33200","38985","46035","46290","52010","87330","92045","113580","135925","136600","150795","154435","171380","185721"
"Liberia","Production","Coffee, green","3400","3754","3670","3500","3187","8911","4327","4686","4261","4967","5521","5594","6935","3424","4150","4238","10076","8665","8200","12742","8400","11734","7500","11500","9000","9000","4200","3600","4800","1600","1300","3000","3000","3000","2997","3017","3041","3059","3079","3127","3200","3346","3539","3751","4080","4260","3180","2400","1800","600","650","650","637","651","628","639","639","635","638","638"
"Madagascar","Production","Coffee, green","54000","73000","62000","70415","65640","71535","73065","70850","63945","66555","57710","68585","73880","80900","83560","78930","91520","78200","81565","79880","83460","81225","80855","81400","78500","82280","80750","83500","88200","85000","83865","79882","78000","70000","68000","68000","55000","60000","65000","58080","64530","61520","70315","67775","55500","61635","56470","56978","57491","58178","55698","53364","51628","49223","47507","53093","59602","55542","65760","42220"
"Malawi","Production","Coffee, green","167","198","230","133","128","166","151","145","154","263","153","186","187","625","788","880","880","900","900","1000","1000","1020","1140","1860","3480","3692","4966","4320","6780","6180","7500","8160","3780","5040","5460","4797","4552","3840","3540","3780","4320","2980","2584","1590","1181","2091","1403","1122","5510","4176","4015","5684","5699","6757","7217","7217","8420","11082","11000","10000"
"Malaysia","Production","Coffee, green","2700","2580","2820","3120","3120","3480","3420","3600","3780","3540","3960","4200","4920","5880","6240","8100","5400","6120","5880","10100","10400","11300","11900","11900","10900","10300","11500","9500","6732","7215","7600","9000","11100","11200","11300","15000","20000","28000","35000","39800","38500","39200","40000","39200","40000","32779","21213","23061","16332","15768","15064","10427","14739","8186","5929","7170","8109","3369","3559","4241"
"Martinique","Production","Coffee, green","2400","2400","2400","2400","2400","2400","2400","2400","600","600","600","600","600","600","0","","","","","","","","","","","","","","","0","75","75","75","75","35","45","40","40","41","40","40","37","35","37","33","30","","","","","","","","","","","","","",""
"Mauritius","Production","Coffee, green","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","50","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","Production","Coffee, green","126616","139794","137069","156477","162149","183005","224505","212656","172734","185293","187495","203462","221718","220767","228264","212200","182010","241602","220191","220040","262904","251768","307948","239870","260197","374828","336180","423000","343440","440000","334330","359665","335627","324500","324526","374153","368315","277372","302119","338170","302996","313027","310861","312413","294364","279635","268565","260442","264472","245271","237056","246121","231596","214667","188934","151714","153777","158308","165712","175555"
"Mozambique","Production","Coffee, green","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","937","900","700","1000","800","900","950","1000","838","813","600","782","787","802","750","680","700","720","730","740","770","800","900","900","817","804","840","821","805","805","805"
"Myanmar","Production","Coffee, green","200","949","1688","1162","1534","1292","1506","1406","1210","1016","917","957","1026","956","1024","923","940","1079","1017","1114","1044","1167","1195","1217","1253","1414","1488","1501","1571","1378","1300","1200","1400","1500","1500","1700","1900","1700","1800","2100","2300","2700","2960","3500","4000","4800","5900","6300","7000","7300","7600","8000","8100","8400","8300","8474","8547","8678","8769","8799"
"Nepal","Production","Coffee, green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","29","37","56","45","72","89","139","188","218","250","300","460","500","268","307","402","425","366","430","464","532","466","513","639","505"
"New Caledonia","Production","Coffee, green","2250","2125","2250","2437","2200","1770","1537","870","1620","780","1000","1100","1500","727","1500","1500","538","507","664","659","597","347","377","304","552","472","438","107","273","300","69","78","59","44","29","25","42","35","48","18","56","20","18","60","25","25","21","33","9","13","19","6","7","5","6","4","5","3","2","2"
"Nicaragua","Production","Coffee, green","23200","29800","26200","40200","31500","24921","33233","30246","33904","39418","42013","35073","36694","40972","49137","56580","55200","65092","56304","59107","61087","72145","49205","51290","35360","43332","38626","43447","45167","27996","47421","44505","41818","40551","54587","49900","65169","65420","91791","82206","66799","60235","82727","57533","95455","70455","100000","75957","92205","78712","103882","86944","84146","86090","95255","122470","128111","141931","156902","158759"
"Nigeria","Production","Coffee, green","1100","2000","2000","3000","3000","4000","1712","2360","4776","2826","3600","4171","2300","2400","3000","3000","3100","3100","3200","3500","3000","3000","3000","4000","6000","1200","1500","1570","2570","3030","3200","3380","3580","3720","3090","3780","3700","3700","3750","3830","3850","4100","4360","4660","4990","5340","2520","3000","2040","2400","2525","2417","2100","1972","1755","1942","1897","1864","1901","1887"
"Panama","Production","Coffee, green","5000","4400","4500","4300","4300","5000","5166","4500","5139","4436","5307","4944","4318","4504","4801","4677","5516","6146","6100","7272","7062","8142","8854","10750","9390","10596","10160","10274","9757","11547","12174","10945","9766","10400","11702","11113","10527","11435","12024","10255","15074","11390","11587","12779","13153","12844","13790","13324","12961","12470","9826","10049","7096","6688","7464","6135","6588","5579","6840","6900"
"Papua New Guinea","Production","Coffee, green","2520","4140","5280","7500","9240","11700","15720","14570","21478","27495","26967","29015","34798","34084","36945","39466","38224","45945","49532","54762","49837","41108","55894","43675","56206","44310","62520","62000","65640","60000","47220","50460","63540","67136","59589","65091","64524","80940","83040","83000","63720","65100","69300","59820","76080","48420","58080","61680","60240","52220","84870","43620","49680","56893","57982","53719","46980","53160","43980","40980"
"Paraguay","Production","Coffee, green","6000","6180","7140","7200","6018","6510","7110","7340","6090","4310","5810","7660","6930","8480","8340","3910","6000","7200","7560","7800","12856","13865","15031","18359","18134","19070","18276","18335","17605","17576","4519","4850","4950","5002","4008","4024","4823","4752","4726","3586","2751","2434","3085","3353","2900","3040","3100","273","281","370","370","370","382","386","395","395","442","441","399","381"
"Peru","Production","Coffee, green","42643","46356","48940","52740","48264","52380","52753","64652","68439","65368","70587","70195","70396","69855","65387","65445","80190","88166","105478","86177","79360","79422","85637","83357","90736","96054","98538","99414","105753","81142","82635","86519","85603","91340","96697","106520","133296","144763","167145","191651","196232","212770","203148","231447","188611","273178","225992","273780","243479","264605","331547","320164","256241","222047","251938","277760","337330","369622","363320","376725"
"Philippines","Production","Coffee, green","32300","43100","32900","39311","44145","42793","44300","43862","44172","49017","49500","51600","50910","53031","91444","80800","105100","118750","115500","125285","146700","171400","146927","116755","135354","145301","140119","141892","155900","125659","125017","126832","124415","123553","127412","117226","120006","107802","104124","107557","112271","107080","106388","102865","105847","104093","97877","97428","96433","94536","88526","88943","78634","75454","72342","68823","62078","60313","60044","60641"
"Puerto Rico","Production","Coffee, green","15876","17917","14288","17010","13600","12882","14742","11793","9078","15422","10886","12247","13698","10478","11430","11428","8707","11927","9526","11884","13608","12973","15649","12247","14061","11340","15967","13154","14515","12927","12701","12701","15478","12700","12701","12175","11567","13393","7000","8250","8650","7600","9308","10206","7938","8000","8100","7263","6929","6432","6037","5629","5206","4674","3369","4416","4153","3980","4183","4105"
"Rwanda","Production","Coffee, green","10500","10000","4700","8100","9998","8603","11157","12015","12399","14240","15245","10602","14160","14062","18045","20334","20684","21994","25500","22600","29200","27200","33500","32500","43000","41348","41797","42666","30591","34680","35000","38824","27510","1274","21952","15285","14830","14268","18800","16098","18366","19427","13805","20017","18597","22223","14683","20724","19372","19319","21820","19995","18346","16379","21808","24689","31718","38643","29366","20459"
"Saint Lucia","Production","Coffee, green","25","25","25","25","25","25","25","25","24","24","24","24","24","23","22","21","20","19","18","17","12","15","16","17","18","19","20","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Vincent and the Grenadines","Production","Coffee, green","50","50","55","55","60","60","70","70","80","80","90","90","90","100","100","100","100","105","110","115","120","120","130","130","130","140","140","145","145","150","152","155","150","155","160","163","164","173","170","160","155","150","145","150","165","175","180","200","220","200","189","170","175","177","181","184","184","183","183","183"
"Samoa","Production","Coffee, green","115","130","130","120","135","150","150","150","150","150","150","40","40","40","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","18","17","16","15","14","13","12","11","10","9","8","8","8","8","8","8","8","8","8","8","10","10","11","11","11","11","11","11","11","11","11"
"Sao Tome and Principe","Production","Coffee, green","258","297","258","197","214","158","175","133","151","125","70","143","61","93","28","45","60","60","60","60","60","60","60","54","14","22","9","31","8","37","11","13","20","22","17","21","45","36","58","18","22","25","23","27","28","30","23","20","18","15","6","6","4","8","9","7","7","7","7","7"
"Saudi Arabia","Production","Coffee, green","200","200","200","100","100","100","100","100","120","120","120","243","120","140","160","180","200","220","240","260","300","386","250","150","50","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","Production","Coffee, green","5103","2419","3958","6029","3937","9593","3000","4131","8257","6188","9527","7297","11971","3188","7416","4702","10273","4367","13690","10146","9288","8658","16500","18000","26000","23100","24200","25300","25600","25800","26000","26000","24700","27805","25025","25000","30700","25000","15350","15000","16267","16705","17000","18000","20000","20500","21000","21200","22000","26130","30449","35000","36000","2756","2756","2275","2277","2685","2399","2400"
"Spain","Production","Coffee, green","5","5","5","5","6","8","8","8","7","8","6","","6","6","8","8","8","9","9","9","4","","","","","","11","13","14","9","7","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sri Lanka","Production","Coffee, green","4002","3754","5520","8395","7008","6660","11488","10020","10943","7306","8358","6806","7032","8624","8838","8876","10387","12318","10100","11688","12500","13179","16600","10500","9300","5622","6030","5600","6760","7567","7861","8672","10090","11056","11481","11760","11348","10498","10580","9790","10210","9780","9110","7670","7240","6460","6050","5450","5410","5240","5320","5560","5570","6089","5866","5593","5431","6445","4887","6725"
"Suriname","Production","Coffee, green","342","329","378","380","397","377","431","359","233","207","200","98","89","91","88","76","90","52","59","45","53","44","47","40","35","44","36","39","49","46","55","43","50","42","50","33","16","11","10","4","4","4","5","4","4","6","10","10","9","6","6","6","6","6","6","6","6","6","6","6"
"Thailand","Production","Coffee, green","60","60","60","60","120","120","120","180","240","600","1140","1657","2240","4020","5816","7635","6300","6900","7500","9120","12060","18539","18035","18099","26641","31455","25220","35154","59580","71483","47328","80386","70426","78175","86450","80287","83810","78444","54923","81057","86009","53447","53907","61765","59644","46873","55660","50442","56315","48955","42394","41461","37569","37950","26089","30579","25909","23619","26424","22505"
"Timor-Leste","Production","Coffee, green","1700","2127","2453","2378","2806","2088","6602","1023","5025","4906","5275","4701","5355","4500","4500","6000","8500","8500","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8000","8631","8538","7734","8000","9000","10000","10987","9723","11000","12000","13000","14134","14000","12000","14500","14500","14000","14000","14009","10122","12653","8320","3660","4800","6660","3540","4920","3900","8340","6180","7500"
"Togo","Production","Coffee, green","10300","11600","13800","13800","13500","7900","10500","17208","13795","13877","6459","6806","6756","7694","10800","8512","10430","4707","6229","10385","8878","9237","5941","2689","10044","8179","13611","14500","12121","12800","24900","6300","11000","10600","12080","22400","10600","20000","17000","15200","16900","7900","5500","9300","7200","8900","9300","9143","11700","11500","12500","10843","10950","15500","16093","17933","18476","19076","21316","17404"
"Tonga","Production","Coffee, green","","","","","","","","","","","","","","","","","","","","","","","10","12","14","14","14","14","14","13","12","13","14","14","14","15","14","14","14","14","14","14","14","14","16","18","17","17","17","16","16","16","15","15","16","15","16","16","15","15"
