Domain,Area,Element,Item,Year,Unit,Value
"Value of Agricultural Production","Colombia","Gross Production Value (current thousand US$)","Coffee, green","2020","1000 US$","3657105"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1991","1000 US$","444234"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1992","1000 US$","416383"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1993","1000 US$","406009"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1994","1000 US$","649839"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1995","1000 US$","886622"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1996","1000 US$","694116"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1997","1000 US$","572556"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1998","1000 US$","296110"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","1999","1000 US$","545854"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2000","1000 US$","508809"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2001","1000 US$","434210"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2002","1000 US$","396184"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2003","1000 US$","438488"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2004","1000 US$","418176"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2005","1000 US$","421381"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2006","1000 US$","585186"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2007","1000 US$","814830"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2008","1000 US$","987544"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2009","1000 US$","920211"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2010","1000 US$","1051243"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2011","1000 US$","1141109"
